Epoch 1/300, Train RMSE: 0.4956, Test RMSE: 0.4723
Epoch 2/300, Train RMSE: 0.3987, Test RMSE: 0.3623
Epoch 3/300, Train RMSE: 0.3602, Test RMSE: 0.2993
Epoch 4/300, Train RMSE: 0.3168, Test RMSE: 0.2369
Epoch 5/300, Train RMSE: 0.2789, Test RMSE: 0.2137
Epoch 6/300, Train RMSE: 0.2594, Test RMSE: 0.2058
Epoch 7/300, Train RMSE: 0.2456, Test RMSE: 0.1940
Epoch 8/300, Train RMSE: 0.2366, Test RMSE: 0.2087
Epoch 9/300, Train RMSE: 0.2277, Test RMSE: 0.1926
Epoch 10/300, Train RMSE: 0.2198, Test RMSE: 0.1854
Epoch 11/300, Train RMSE: 0.2125, Test RMSE: 0.1825
Epoch 12/300, Train RMSE: 0.2070, Test RMSE: 0.1827
Epoch 13/300, Train RMSE: 0.2025, Test RMSE: 0.1702
Epoch 14/300, Train RMSE: 0.1976, Test RMSE: 0.1630
Epoch 15/300, Train RMSE: 0.1936, Test RMSE: 0.1572
Epoch 16/300, Train RMSE: 0.1900, Test RMSE: 0.1600
Epoch 17/300, Train RMSE: 0.1880, Test RMSE: 0.1621
Epoch 18/300, Train RMSE: 0.1842, Test RMSE: 0.1502
Epoch 19/300, Train RMSE: 0.1814, Test RMSE: 0.1604
Epoch 20/300, Train RMSE: 0.1787, Test RMSE: 0.1533
Epoch 21/300, Train RMSE: 0.1770, Test RMSE: 0.1478
Epoch 22/300, Train RMSE: 0.1749, Test RMSE: 0.1465
Epoch 23/300, Train RMSE: 0.1725, Test RMSE: 0.1460
Epoch 24/300, Train RMSE: 0.1703, Test RMSE: 0.1386
Epoch 25/300, Train RMSE: 0.1695, Test RMSE: 0.1476
Epoch 26/300, Train RMSE: 0.1677, Test RMSE: 0.1371
Epoch 27/300, Train RMSE: 0.1663, Test RMSE: 0.1362
Epoch 28/300, Train RMSE: 0.1645, Test RMSE: 0.1432
Epoch 29/300, Train RMSE: 0.1632, Test RMSE: 0.1327
Epoch 30/300, Train RMSE: 0.1620, Test RMSE: 0.1345
Epoch 31/300, Train RMSE: 0.1607, Test RMSE: 0.1310
Epoch 32/300, Train RMSE: 0.1594, Test RMSE: 0.1339
Epoch 33/300, Train RMSE: 0.1586, Test RMSE: 0.1455
Epoch 34/300, Train RMSE: 0.1570, Test RMSE: 0.1278
Epoch 35/300, Train RMSE: 0.1559, Test RMSE: 0.1316
Epoch 36/300, Train RMSE: 0.1557, Test RMSE: 0.1300
Epoch 37/300, Train RMSE: 0.1544, Test RMSE: 0.1555
Epoch 38/300, Train RMSE: 0.1536, Test RMSE: 0.1302
Epoch 39/300, Train RMSE: 0.1527, Test RMSE: 0.1399
Epoch 40/300, Train RMSE: 0.1518, Test RMSE: 0.1236
Epoch 41/300, Train RMSE: 0.1507, Test RMSE: 0.1358
Epoch 42/300, Train RMSE: 0.1502, Test RMSE: 0.1208
Epoch 43/300, Train RMSE: 0.1493, Test RMSE: 0.1318
Epoch 44/300, Train RMSE: 0.1487, Test RMSE: 0.1220
