Epoch 1/180, Train RMSE: 0.4469, Test RMSE: 0.3526
Epoch 2/180, Train RMSE: 0.2844, Test RMSE: 0.2535
Epoch 3/180, Train RMSE: 0.2483, Test RMSE: 0.2340
Epoch 4/180, Train RMSE: 0.2312, Test RMSE: 0.2522
Epoch 5/180, Train RMSE: 0.2191, Test RMSE: 0.2115
Epoch 6/180, Train RMSE: 0.2112, Test RMSE: 0.2021
Epoch 7/180, Train RMSE: 0.2045, Test RMSE: 0.2175
Epoch 8/180, Train RMSE: 0.1999, Test RMSE: 0.1948
Epoch 9/180, Train RMSE: 0.1896, Test RMSE: 0.2016
Epoch 10/180, Train RMSE: 0.1858, Test RMSE: 0.1740
Epoch 11/180, Train RMSE: 0.1842, Test RMSE: 0.1746
Epoch 12/180, Train RMSE: 0.1794, Test RMSE: 0.1603
Epoch 13/180, Train RMSE: 0.1746, Test RMSE: 0.1595
Epoch 14/180, Train RMSE: 0.1747, Test RMSE: 0.1703
Epoch 15/180, Train RMSE: 0.1704, Test RMSE: 0.1637
Epoch 16/180, Train RMSE: 0.1715, Test RMSE: 0.1662
Epoch 17/180, Train RMSE: 0.1686, Test RMSE: 0.1924
Epoch 18/180, Train RMSE: 0.1642, Test RMSE: 0.1503
Epoch 19/180, Train RMSE: 0.1624, Test RMSE: 0.1521
Epoch 20/180, Train RMSE: 0.1621, Test RMSE: 0.1482
Epoch 21/180, Train RMSE: 0.1587, Test RMSE: 0.1504
Epoch 22/180, Train RMSE: 0.1583, Test RMSE: 0.1500
Epoch 23/180, Train RMSE: 0.1572, Test RMSE: 0.1516
Epoch 24/180, Train RMSE: 0.1542, Test RMSE: 0.1631
Epoch 25/180, Train RMSE: 0.1550, Test RMSE: 0.1376
Epoch 26/180, Train RMSE: 0.1545, Test RMSE: 0.1416
Epoch 27/180, Train RMSE: 0.1504, Test RMSE: 0.1553
Epoch 28/180, Train RMSE: 0.1496, Test RMSE: 0.1396
Epoch 29/180, Train RMSE: 0.1488, Test RMSE: 0.1493
Epoch 30/180, Train RMSE: 0.1485, Test RMSE: 0.1456
