Successfully embedded 131431 molecules.
Epoch 1/300, Train RMSE: 0.3786, Test RMSE: 0.2636
Epoch 2/300, Train RMSE: 0.2850, Test RMSE: 0.2570
Epoch 3/300, Train RMSE: 0.2718, Test RMSE: 0.2492
Epoch 4/300, Train RMSE: 0.2623, Test RMSE: 0.2472
Epoch 5/300, Train RMSE: 0.2557, Test RMSE: 0.2356
Epoch 6/300, Train RMSE: 0.2496, Test RMSE: 0.2336
Epoch 7/300, Train RMSE: 0.2447, Test RMSE: 0.2492
Epoch 8/300, Train RMSE: 0.2394, Test RMSE: 0.2196
Epoch 9/300, Train RMSE: 0.2355, Test RMSE: 0.2306
Epoch 10/300, Train RMSE: 0.2309, Test RMSE: 0.2185
Epoch 11/300, Train RMSE: 0.2274, Test RMSE: 0.2086
Epoch 12/300, Train RMSE: 0.2236, Test RMSE: 0.2056
Epoch 13/300, Train RMSE: 0.2208, Test RMSE: 0.2031
Epoch 14/300, Train RMSE: 0.2171, Test RMSE: 0.1997
Epoch 15/300, Train RMSE: 0.2136, Test RMSE: 0.1962
Epoch 16/300, Train RMSE: 0.2108, Test RMSE: 0.1916
Epoch 17/300, Train RMSE: 0.2068, Test RMSE: 0.1960
Epoch 18/300, Train RMSE: 0.2056, Test RMSE: 0.1968
Epoch 19/300, Train RMSE: 0.2027, Test RMSE: 0.1879
Epoch 20/300, Train RMSE: 0.2008, Test RMSE: 0.1950
Epoch 21/300, Train RMSE: 0.1966, Test RMSE: 0.1854
Epoch 22/300, Train RMSE: 0.1948, Test RMSE: 0.1777
Epoch 23/300, Train RMSE: 0.1920, Test RMSE: 0.1854
Epoch 24/300, Train RMSE: 0.1892, Test RMSE: 0.1759
Epoch 25/300, Train RMSE: 0.1860, Test RMSE: 0.1697
Epoch 26/300, Train RMSE: 0.1832, Test RMSE: 0.1719
Epoch 27/300, Train RMSE: 0.1813, Test RMSE: 0.1839
Epoch 28/300, Train RMSE: 0.1788, Test RMSE: 0.1692
Epoch 29/300, Train RMSE: 0.1764, Test RMSE: 0.1659
Epoch 30/300, Train RMSE: 0.1729, Test RMSE: 0.1651
Epoch 31/300, Train RMSE: 0.1705, Test RMSE: 0.1641
Epoch 32/300, Train RMSE: 0.1689, Test RMSE: 0.1525
Epoch 33/300, Train RMSE: 0.1660, Test RMSE: 0.1526
Epoch 34/300, Train RMSE: 0.1632, Test RMSE: 0.1437
Epoch 35/300, Train RMSE: 0.1610, Test RMSE: 0.1406
Epoch 36/300, Train RMSE: 0.1578, Test RMSE: 0.1394
Epoch 37/300, Train RMSE: 0.1557, Test RMSE: 0.1398
Epoch 38/300, Train RMSE: 0.1525, Test RMSE: 0.1321
Epoch 39/300, Train RMSE: 0.1512, Test RMSE: 0.1317
Epoch 40/300, Train RMSE: 0.1484, Test RMSE: 0.1268
Epoch 41/300, Train RMSE: 0.1457, Test RMSE: 0.1277
Epoch 42/300, Train RMSE: 0.1439, Test RMSE: 0.1209
Epoch 43/300, Train RMSE: 0.1418, Test RMSE: 0.1199
Epoch 44/300, Train RMSE: 0.1392, Test RMSE: 0.1241
Epoch 45/300, Train RMSE: 0.1378, Test RMSE: 0.1205
Epoch 46/300, Train RMSE: 0.1360, Test RMSE: 0.1153
Epoch 47/300, Train RMSE: 0.1340, Test RMSE: 0.1117
Epoch 48/300, Train RMSE: 0.1322, Test RMSE: 0.1073
Epoch 49/300, Train RMSE: 0.1309, Test RMSE: 0.1096
Epoch 50/300, Train RMSE: 0.1303, Test RMSE: 0.1131
Epoch 51/300, Train RMSE: 0.1282, Test RMSE: 0.1050
Epoch 52/300, Train RMSE: 0.1274, Test RMSE: 0.1086
Epoch 53/300, Train RMSE: 0.1259, Test RMSE: 0.1023
Epoch 54/300, Train RMSE: 0.1245, Test RMSE: 0.1055
Epoch 55/300, Train RMSE: 0.1237, Test RMSE: 0.1091
Epoch 56/300, Train RMSE: 0.1231, Test RMSE: 0.1160
