Processing...
Done!
Graph object:
Data(x=[1, 9], edge_index=[2, 0], edge_attr=[0, 3], smiles='N', y=[1])

Node feature matrix (x):
tensor([[7., 0., 3., 5., 3., 0., 4., 0., 0.]])

Shape of x (i.e., [num_nodes, in_channels]): torch.Size([1, 9])

Edge index:
tensor([], size=(2, 0), dtype=torch.int64)

Label (y): tensor([-4.4965])
Epoch 1/300, Train RMSE: 0.4944, Test RMSE: 0.5511
Epoch 2/300, Train RMSE: 0.3782, Test RMSE: 0.6441
Epoch 3/300, Train RMSE: 0.3431, Test RMSE: 0.6106
Epoch 4/300, Train RMSE: 0.3237, Test RMSE: 0.6492
Epoch 5/300, Train RMSE: 0.3086, Test RMSE: 0.6523
Epoch 6/300, Train RMSE: 0.2972, Test RMSE: 0.6652
Epoch 7/300, Train RMSE: 0.2866, Test RMSE: 0.6735
Epoch 8/300, Train RMSE: 0.2774, Test RMSE: 0.5877
Epoch 9/300, Train RMSE: 0.2696, Test RMSE: 0.6038
Epoch 10/300, Train RMSE: 0.2629, Test RMSE: 0.5376
Epoch 11/300, Train RMSE: 0.2576, Test RMSE: 0.6561
Epoch 12/300, Train RMSE: 0.2521, Test RMSE: 0.6253
Epoch 13/300, Train RMSE: 0.2476, Test RMSE: 0.5572
Epoch 14/300, Train RMSE: 0.2433, Test RMSE: 0.5504
Epoch 15/300, Train RMSE: 0.2395, Test RMSE: 0.5322
Epoch 16/300, Train RMSE: 0.2355, Test RMSE: 0.5428
Epoch 17/300, Train RMSE: 0.2326, Test RMSE: 0.5841
Epoch 18/300, Train RMSE: 0.2293, Test RMSE: 0.5884
Epoch 19/300, Train RMSE: 0.2258, Test RMSE: 0.4716
Epoch 20/300, Train RMSE: 0.2235, Test RMSE: 0.4760
Epoch 21/300, Train RMSE: 0.2198, Test RMSE: 0.5396
Epoch 22/300, Train RMSE: 0.2180, Test RMSE: 0.5156
Epoch 23/300, Train RMSE: 0.2152, Test RMSE: 0.5212
Epoch 24/300, Train RMSE: 0.2133, Test RMSE: 0.4789
Epoch 25/300, Train RMSE: 0.2101, Test RMSE: 0.4881
Epoch 26/300, Train RMSE: 0.2087, Test RMSE: 0.4904
Epoch 27/300, Train RMSE: 0.2062, Test RMSE: 0.5711
Epoch 28/300, Train RMSE: 0.2048, Test RMSE: 0.4828
Epoch 29/300, Train RMSE: 0.2029, Test RMSE: 0.4030
Epoch 30/300, Train RMSE: 0.2006, Test RMSE: 0.4673
